bank,fiscal_year,sic_code,D_genai,D_ai,genai_intensity,ai_intensity,ln_Y_revenue,ln_Y_nii,ln_L,ln_K,tier1_ratio,ln_assets
JPMorgan Chase,2022,6021,0,0,0.0,0.0,11.765200542790685,11.108110145703561,12.590392425322456,15.1145416012692,13.2,15.1145416012692
JPMorgan Chase,2023,6021,0,0,0.0,0.0,11.97100832332027,11.399387157694076,12.64408883828822,15.170157634981829,15.0,15.170157634981829
JPMorgan Chase,2024,6021,0,0,0.0,0.0,12.013700752882718,11.429543856031177,12.66032791780777,15.201804919084164,15.2,15.201804919084164
KeyCorp,2018,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2019,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2020,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2021,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2022,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2023,6021,0,0,0.0,0.0,,,,,,
KeyCorp,2024,6021,0,0,0.0,0.0,,,,,,
LPL Financial,2018,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2019,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2020,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2021,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2022,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2023,6211,0,0,0.0,0.0,,,,,,
LPL Financial,2024,6211,0,0,0.0,0.0,,,,,,
M&T Bank,2018,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2019,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2020,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2021,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2022,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2023,6021,0,0,0.0,0.0,,,,,,
M&T Bank,2024,6021,0,0,0.0,0.0,,,,,,
Morgan Stanley,2018,6211,0,0,0.0,0.0,,,,,,
Morgan Stanley,2019,6211,0,0,0.0,0.0,10.631494991732007,8.138856750696325,11.009257497290836,13.705058212024191,16.5,13.705058212024191
Morgan Stanley,2020,6211,0,0,0.0,0.0,10.783072805401867,8.233768709217097,11.128688438303811,13.925137758363391,16.0,13.925137758363391
Morgan Stanley,2021,6211,0,0,0.0,0.0,10.99800814830098,8.305978210967302,11.222760312224642,13.987899617079382,15.3,13.987899617079382
Morgan Stanley,2022,6211,0,0,0.0,0.0,10.890628097380375,8.918516400357067,11.31771317858471,13.981285979332002,15.3,13.981285979332002
Morgan Stanley,2023,6211,1,1,0.0784553706623987,0.0784553706623987,10.899383973528197,8.942591637231851,11.289856910843659,13.99733532471182,15.2,13.99733532471182
Morgan Stanley,2024,6211,1,1,0.23471056275769264,0.39118427126282107,10.933106969717286,8.987196820661973,11.314474526246391,14.038654109278484,15.5,14.038654109278484
Northern Trust,2018,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2019,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2020,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2021,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2022,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2023,6022,0,0,0.0,0.0,,,,,,
Northern Trust,2024,6022,0,0,0.0,0.0,,,,,,
PNC Financial,2018,6021,0,0,0.0,0.0,,,,,,
PNC Financial,2019,6021,0,0,0.0,0.0,9.755451473708725,9.217315985712608,10.859114375522656,12.924456193258196,9.4,12.924456193258196
PNC Financial,2020,6021,0,0,0.0,0.0,9.729491244488164,9.151014905891367,10.855512156361394,13.052897536942327,11.8,13.052897536942327
PNC Financial,2021,6021,0,0,0.0,0.0,9.857024678125788,9.256842205627603,10.986038207656888,13.201869325663687,12.1,13.201869325663687
PNC Financial,2022,6021,0,0,0.0,0.0,9.957833682276242,9.519661619531444,11.016216398761607,13.229900322919521,9.8,13.229900322919521
PNC Financial,2023,6021,0,0,0.0,0.0,9.975389521825207,9.515027043243787,10.94503554058256,13.238509518523985,10.1,13.238509518523985
PNC Financial,2024,6021,0,0,0.0,0.0,9.998797732340453,9.546812608597396,10.915088464214607,13.270783382522602,10.3,13.270783382522602
Pinnacle Financial,2018,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2019,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2020,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2021,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2022,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2023,6021,0,0,0.0,0.0,,,,,,
Pinnacle Financial,2024,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2018,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2019,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2020,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2021,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2022,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2023,6021,0,0,0.0,0.0,,,,,,
Popular Inc,2024,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2018,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2019,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2020,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2021,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2022,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2023,6021,0,0,0.0,0.0,,,,,,
Prosperity Bancshares,2024,6021,0,0,0.0,0.0,,,,,,
